date,key,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,share_of_last_week,percentage
2020-05-06,Georgia,30743,1327,0,29416,33.0406,-83.6431,,0.0
2020-05-06,Grand Princess,103,3,0,100,,,,0.0
2020-05-06,Guam,149,5,123,21,13.4443,144.7937,,0.0
2020-05-06,Hawaii,626,17,551,58,21.0943,-157.4983,,0.0
2020-05-06,Idaho,2158,66,1379,713,44.2405,-114.4788,,0.0
2020-05-06,Illinois,68232,2974,0,65258,40.3495,-88.9861,,0.0
2020-05-06,Indiana,21870,1377,0,20493,39.8494,-86.2583,,0.0
2020-05-06,Iowa,10404,219,3803,6382,42.0115,-93.2105,,0.0
2020-05-06,Kansas,5993,164,318,5511,38.5266,-96.7265,,0.0
2020-05-06,Kentucky,5934,283,2058,3593,37.6681,-84.6701,,0.0
2020-05-06,Louisiana,30399,2167,20316,7916,31.1695,-91.8678,,0.0
2020-05-06,Maine,1254,62,766,426,44.6939,-69.3819,,0.0
2020-05-06,Maryland,28163,1437,1903,24823,39.0639,-76.8021,,0.0
2020-05-06,Massachusetts,72025,4420,0,67605,42.2302,-71.5301,,0.0
2020-05-06,Michigan,45179,4256,15659,25264,43.3266,-84.5361,,0.0
2020-05-06,Minnesota,8579,485,5005,3089,45.6945,-93.9002,,0.0
2020-05-06,Mississippi,8424,374,4421,3629,32.7416,-89.6787,,0.0
2020-05-06,Missouri,9323,428,0,8895,38.4561,-92.2884,,0.0
2020-05-06,Montana,456,16,417,23,46.9219,-110.4544,,0.0
2020-05-06,Nebraska,6689,78,0,6611,41.1254,-98.2681,,0.0
2020-05-06,Nevada,5741,289,203,5249,38.3135,-117.0554,,0.0
2020-05-06,New Hampshire,2741,92,1105,1544,43.4525,-71.5639,,0.0
2020-05-06,New Jersey,131890,8549,15642,107699,40.2989,-74.521,,0.0
2020-05-06,New Mexico,4291,169,964,3158,34.8405,-106.2485,,0.0
2020-05-06,New York,323978,25623,54597,243758,42.1657,-74.9481,,0.0
2020-05-06,North Carolina,13053,492,0,12561,35.6301,-79.8064,,0.0
2020-05-06,North Dakota,1323,31,582,710,47.5289,-99.78399999999999,,0.0
2020-05-06,Northern Mariana Islands,15,2,12,1,15.0979,145.6739,,0.0
2020-05-06,Ohio,21576,1225,0,20351,40.3888,-82.7649,,0.0
2020-05-06,Oklahoma,4202,253,2909,1040,35.5653,-96.9289,,0.0
2020-05-06,Oregon,2916,115,1125,1676,44.571999999999996,-122.0709,,0.0
2020-05-06,Pennsylvania,54800,3345,0,51455,40.5908,-77.2098,,0.0
2020-05-06,Puerto Rico,1968,99,0,1869,18.2208,-66.5901,,0.0
2020-05-06,Rhode Island,10205,370,665,9170,41.6809,-71.5118,,0.0
2020-05-06,South Carolina,6936,305,3816,2815,33.8569,-80.945,,0.0
2020-05-06,South Dakota,2780,29,1977,774,44.2998,-99.4388,,0.0
2020-05-06,Tennessee,13938,239,6564,7135,35.7478,-86.6923,,0.0
2020-05-06,Texas,34928,954,17622,16352,31.0545,-97.5635,,0.0
2020-05-06,Utah,5595,58,2509,3028,40.15,-111.8624,,0.0
2020-05-06,Vermont,908,52,706,150,44.0459,-72.7107,,0.0
2020-05-06,Virgin Islands,66,4,54,8,18.3358,-64.8963,,0.0
2020-05-06,Virginia,20257,713,2617,16927,37.7693,-78.17,,0.0
2020-05-06,Washington,15905,870,0,15035,47.4009,-121.4905,,0.0
2020-05-06,West Virginia,1242,50,716,476,38.4912,-80.9545,,0.0
2020-05-06,Wisconsin,8901,362,4348,4191,44.2685,-89.6165,,0.0
2020-05-06,Wyoming,631,7,409,215,42.756,-107.3025,,0.0
2020-04-21,Alabama,5317,183,0,5134,32.3182,-86.9023,,0.0
2020-04-21,Alaska,329,9,168,152,61.3707,-152.4044,,0.0
2020-04-21,American Samoa,0,0,0,0,-14.270999999999999,-170.132,,0.0
2020-04-21,Arizona,5256,208,1155,3893,33.7298,-111.4312,,0.0
2020-04-21,Arkansas,1990,42,809,1139,34.9697,-92.3731,,0.0
2020-04-21,California,35465,1282,0,34183,36.1162,-119.6816,,0.0
2020-04-21,Colorado,10473,483,0,9990,39.0598,-105.3111,,0.0
2020-04-21,Connecticut,20360,1423,0,18937,41.5978,-72.7554,,0.0
2020-04-21,Delaware,2931,82,565,2284,39.3185,-75.5071,,0.0
2020-04-21,Diamond Princess,49,0,0,49,,,,0.0
2020-04-21,District of Columbia,3098,112,636,2350,38.8974,-77.0268,,0.0
2020-04-21,Florida,27869,867,0,27002,27.7663,-81.6868,,0.0
2020-04-21,Georgia,19881,798,0,19083,33.0406,-83.6431,,0.0
2020-04-21,Grand Princess,103,0,0,103,,,,0.0
2020-04-21,Guam,136,5,114,17,13.4443,144.7937,,0.0
2020-04-21,Hawaii,586,10,423,153,21.0943,-157.4983,,0.0
2020-04-21,Idaho,1736,48,660,1028,44.2405,-114.4788,,0.0
2020-04-21,Illinois,33059,1468,0,31591,40.3495,-88.9861,,0.0
2020-04-21,Indiana,12097,635,0,11462,39.8494,-86.2583,,0.0
2020-04-21,Iowa,3641,83,1293,2265,42.0115,-93.2105,,0.0
2020-04-21,Kansas,2164,109,0,2055,38.5266,-96.7265,,0.0
2020-04-21,Kentucky,3204,171,1174,1859,37.6681,-84.6701,,0.0
2020-04-21,Louisiana,24854,1405,0,23449,31.1695,-91.8678,,0.0
2020-04-21,Maine,888,36,443,409,44.6939,-69.3819,,0.0
2020-04-21,Maryland,14193,652,930,12611,39.0639,-76.8021,,0.0
2020-04-21,Massachusetts,41199,1961,0,39238,42.2302,-71.5301,,0.0
2020-04-21,Michigan,32667,2575,3237,26855,43.3266,-84.5361,,0.0
2020-04-21,Minnesota,2567,160,1254,1153,45.6945,-93.9002,,0.0
2020-04-21,Mississippi,4716,183,0,4533,32.7416,-89.6787,,0.0
2020-04-21,Missouri,6066,224,0,5842,38.4561,-92.2884,,0.0
2020-04-21,Montana,437,12,273,152,46.9219,-110.4544,,0.0
2020-04-21,Nebraska,1685,33,0,1652,41.1254,-98.2681,,0.0
2020-04-21,Nevada,3937,163,0,3774,38.3135,-117.0554,,0.0
2020-04-21,New Hampshire,1490,42,521,927,43.4525,-71.5639,,0.0
2020-04-21,New Jersey,92387,4753,0,87634,40.2989,-74.521,,0.0
2020-04-21,New Mexico,1971,58,501,1412,34.8405,-106.2485,,0.0
2020-04-21,New York,258361,19104,23887,215370,42.1657,-74.9481,,0.0
2020-04-21,North Carolina,7134,245,0,6889,35.6301,-79.8064,,0.0
2020-04-21,North Dakota,644,13,214,417,47.5289,-99.78399999999999,,0.0
2020-04-21,Northern Mariana Islands,14,2,11,1,15.0979,145.6739,,0.0
2020-04-21,Ohio,13725,557,0,13168,40.3888,-82.7649,,0.0
2020-04-21,Oklahoma,2807,164,1702,941,35.5653,-96.9289,,0.0
2020-04-21,Oregon,2004,78,0,1926,44.571999999999996,-122.0709,,0.0
2020-04-21,Pennsylvania,35249,1614,0,33635,40.5908,-77.2098,,0.0
